name,path,size,file_or_dir,parent
.git,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
.idea,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
Homework1,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
Homework2,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
Homework3,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
Homework4,C:\PythonHomeWork_T,0,DIR,C:\PythonHomeWork_T
Homework5,C:\PythonHomeWork_T,0,DIR,C:\PythonHomeWork_T
Homework6,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
Homework7,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
seminar3,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
seminar4,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
seminar5,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
seminar6,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
seminar7,C:\PythonHomeWork_T,147456,DIR,C:\PythonHomeWork_T
seminar8,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
seminar9,C:\PythonHomeWork_T,73728,DIR,C:\PythonHomeWork_T
hooks,C:\PythonHomeWork_T\.git,73728,DIR,C:\PythonHomeWork_T\.git
info,C:\PythonHomeWork_T\.git,0,DIR,C:\PythonHomeWork_T\.git
logs,C:\PythonHomeWork_T\.git,0,DIR,C:\PythonHomeWork_T\.git
objects,C:\PythonHomeWork_T\.git,147456,DIR,C:\PythonHomeWork_T\.git
refs,C:\PythonHomeWork_T\.git,0,DIR,C:\PythonHomeWork_T\.git
COMMIT_EDITMSG,C:\PythonHomeWork_T\.git,4,FILE,C:\PythonHomeWork_T\.git
config,C:\PythonHomeWork_T\.git,310,FILE,C:\PythonHomeWork_T\.git
description,C:\PythonHomeWork_T\.git,73,FILE,C:\PythonHomeWork_T\.git
HEAD,C:\PythonHomeWork_T\.git,21,FILE,C:\PythonHomeWork_T\.git
index,C:\PythonHomeWork_T\.git,3793,FILE,C:\PythonHomeWork_T\.git
applypatch-msg.sample,C:\PythonHomeWork_T\.git\hooks,478,FILE,C:\PythonHomeWork_T\.git\hooks
commit-msg.sample,C:\PythonHomeWork_T\.git\hooks,896,FILE,C:\PythonHomeWork_T\.git\hooks
fsmonitor-watchman.sample,C:\PythonHomeWork_T\.git\hooks,4726,FILE,C:\PythonHomeWork_T\.git\hooks
post-update.sample,C:\PythonHomeWork_T\.git\hooks,189,FILE,C:\PythonHomeWork_T\.git\hooks
pre-applypatch.sample,C:\PythonHomeWork_T\.git\hooks,424,FILE,C:\PythonHomeWork_T\.git\hooks
pre-commit.sample,C:\PythonHomeWork_T\.git\hooks,1643,FILE,C:\PythonHomeWork_T\.git\hooks
pre-merge-commit.sample,C:\PythonHomeWork_T\.git\hooks,416,FILE,C:\PythonHomeWork_T\.git\hooks
pre-push.sample,C:\PythonHomeWork_T\.git\hooks,1374,FILE,C:\PythonHomeWork_T\.git\hooks
pre-rebase.sample,C:\PythonHomeWork_T\.git\hooks,4898,FILE,C:\PythonHomeWork_T\.git\hooks
pre-receive.sample,C:\PythonHomeWork_T\.git\hooks,544,FILE,C:\PythonHomeWork_T\.git\hooks
